URL,Product Name,Product shorthand,SKU Code
https://drive.google.com/uc?id=1i7qxRhQTP9M3xO4kE2zdpX-hO3QmKs9X,Space Themed Child-safe Kids Toy Storage Organizer,Toy Vault - Space Contour,YK-KW-007-2
https://drive.google.com/uc?id=1rel2jksGxM-1N3hiAgQicD9YjRgj8IeF,6-in-1 Super Desk for Kids - Children Multifunctional Desk (No Storage),6-in-1 hybrid,YK-KW-006-custom
https://drive.google.com/uc?id=17IWJzkE8U7x3cYt1nHr55okNq9eBNQ2x,6-in-1 Super Desk for Kids - Children Multifunctional Desk (No Storage),FlexDesk,YK-KW-006
,Toodles Height Adjustable Study Desk And Chair with storage,Hippo Study Desk,YK-PZ-015-2
https://drive.google.com/uc?id=1nKx6amNVjYHHtEIwSlzE5Xh6CpBfbW0x&,Dog Face Shaped Storage Organizer With Whiteboard for Kids,Toy Vault - Pup Contour,YK-YH-001-3
https://drive.google.com/uc?id=1bQPfBVt52DvzZqmtAHUBV499B6jMErB0,6-in-1 Super Desk With Storage for Kids - Children Multifunctional Storage Desk,FlexDesk with Storage,YK-KW-012
https://drive.google.com/uc?id=15okHp3p8Q1uam3PwEeMqOhDNomW9_IdJ,Toodles Carrot Shaped Bookshelf,Curio Corner Bookshelf,YK-KW-080
,Kid's Chair - Perfect For Toddlers,Kid's Chair,YK-KW-006-1
https://drive.google.com/uc?id=15wCwREF6ePDi6ITMSg1O7OJJRNnluCwO,Car Shaped Toy Organizer- White,Car Organizer - White,YK-SQ-022-3 - WHITE
https://drive.google.com/uc?id=15wCwREF6ePDi6ITMSg1O7OJJRNnluCwO,Car Shaped Toy Organizer-Pink,Car Organizer - Pink,YK-SQ-022-3 - PINK
https://drive.google.com/uc?id=15wCwREF6ePDi6ITMSg1O7OJJRNnluCwO,Car Shaped Toy Organizer (Small),Car Organizer - Small,YK-SQ-022-1
https://drive.google.com/uc?id=1pBYCpvVlZmA-QtaNQlZpmQRW7AT0hXcq,Magnetic Easel with Art Roll Rod- Snail chair - Pink,Stetch & Strokes - Pink,YK-NH-006 - PINK
https://drive.google.com/uc?id=1pBYCpvVlZmA-QtaNQlZpmQRW7AT0hXcq,Magnetic Easel with Art Roll Rod- Snail chair - Blue & Yellow,Sketch & Strokes - Blue & Yellow,YK-NH-006 - BLU & YEL
https://drive.google.com/uc?id=1pBYCpvVlZmA-QtaNQlZpmQRW7AT0hXcq,Magnetic Easel with Art Roll Rod- Snail chair- Green,Sketch & Strokes - Green,YK-NH-006 - GREEN
https://drive.google.com/uc?id=1R1f96LMjPNsDX-swfI-GaNbCl0XjsAhl,Foldable Height Adjustable Step- Stool for kids- Stepping stool- Powder Blue,Steady Steps (Blue),YK-PZ-007 - BLUE
https://drive.google.com/uc?id=1R1f96LMjPNsDX-swfI-GaNbCl0XjsAhl,Foldable Height Adjustable Step- Stool for kids- Stepping stool- Pink,Steady Steps (Pink),YK-PZ-007 - PINK
https://drive.google.com/uc?id=1R1f96LMjPNsDX-swfI-GaNbCl0XjsAhl,Foldable Height Adjustable Step- Stool for kids- Stepping stool- White,Steady Steps (White),YK-PZ-007 - WHITE
https://drive.google.com/uc?id=1OT0B1AvF4VhQVFRQxTqRl4YeyJ4weC7V&,3-in-1 Functionality Desk with Drawing Easel and Bookshelf with Chair- Pink,3-in-1 Multifunctional Desk - Pink,YK-PZ-002-2 - PINK
https://drive.google.com/uc?id=1OT0B1AvF4VhQVFRQxTqRl4YeyJ4weC7V&,3-in-1 Functionality Desk with Drawing Easel and Bookshelf with Chair- Grey,3-in-1 Multifunctional Desk - Grey,YK-PZ-002-2 - GREY
https://drive.google.com/uc?id=1OT0B1AvF4VhQVFRQxTqRl4YeyJ4weC7V&,3-in-1 Functionality Desk with Drawing Easel and Bookshelf with Chair- Blue,3-in-1 Multifunctional Desk - Blue,YK-PZ-002-2 - BLUE
https://drive.google.com/uc?id=1l2i16Pxrh3swGrjGI5Lfeb9qAJ8Y-znO,Bus Shaped Kids Cartoon Storage Organizer/Shelf/Rack,Toy Vault - Bus Contour,YK-SQ-022-4
https://drive.google.com/uc?id=1l2i16Pxrh3swGrjGI5Lfeb9qAJ8Y-znO,Bus Shaped Kids Cartoon Storage Organizer/Shelf/Rack (Small),Toy Vault - Bus Contour (small),YK-SQ-022-2
https://drive.google.com/uc?id=1hfuQW0jIux8yl1A2zEoSaYZPnOjxCGBf,7-in-1 Multifunctional Table,FlexDesk Ultra,YK-KW-027
